FIDE ID,HistoryJSON
26017962,"[{""period"": ""2025-Dec"", ""std"": -16.7, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Nov"", ""std"": -14.3, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Oct"", ""std"": 10.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Sep"", ""std"": -9.6, ""rapid"": -8.8, ""blitz"": 22.5}, {""period"": ""2025-Aug"", ""std"": 12.9, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Jul"", ""std"": 12.3, ""rapid"": -18.4, ""blitz"": 29.2}, {""period"": ""2025-Jun"", ""std"": 0.8, ""rapid"": 7.1, ""blitz"": 0.0}, {""period"": ""2025-May"", ""std"": 0.0, ""rapid"": 3.6, ""blitz"": 0.0}, {""period"": ""2025-Apr"", ""std"": -7.7, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Mar"", ""std"": -12.7, ""rapid"": 4.5, ""blitz"": 0.0}, {""period"": ""2025-Feb"", ""std"": 5.3, ""rapid"": 14.2, ""blitz"": 0.0}, {""period"": ""2025-Jan"", ""std"": 0.8, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Dec"", ""std"": -24.3, ""rapid"": 12.6, ""blitz"": 0.0}, {""period"": ""2024-Nov"", ""std"": 1.1, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Oct"", ""std"": 0.8, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Sep"", ""std"": 10.6, ""rapid"": -4.8, ""blitz"": 0.8}, {""period"": ""2024-Aug"", ""std"": 9.8, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Jul"", ""std"": -15.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Jun"", ""std"": -0.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-May"", ""std"": 24.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Apr"", ""std"": 14.1, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Mar"", ""std"": -0.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Feb"", ""std"": 7.7, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Jan"", ""std"": 4.7, ""rapid"": 0.0, ""blitz"": 11.8}]"
662569,"[{""period"": ""2025-Dec"", ""std"": 0.0, ""rapid"": 5.0, ""blitz"": 0.0}, {""period"": ""2025-Oct"", ""std"": 1.5, ""rapid"": -22.6, ""blitz"": 0.0}, {""period"": ""2025-Aug"", ""std"": 4.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Jul"", ""std"": 0.7, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Jun"", ""std"": -8.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-May"", ""std"": -0.3, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Apr"", ""std"": 3.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Feb"", ""std"": -0.7, ""rapid"": -3.8, ""blitz"": 0.0}, {""period"": ""2025-Jan"", ""std"": -0.8, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Dec"", ""std"": 1.3, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Aug"", ""std"": -12.2, ""rapid"": 1.2, ""blitz"": 6.9}, {""period"": ""2024-Jul"", ""std"": 18.5, ""rapid"": 0.0, ""blitz"": -12.7}, {""period"": ""2024-May"", ""std"": -5.1, ""rapid"": -0.4, ""blitz"": 0.0}, {""period"": ""2024-Apr"", ""std"": 5.3, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Mar"", ""std"": 0.0, ""rapid"": -12.9, ""blitz"": -22.3}, {""period"": ""2024-Feb"", ""std"": 1.5, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Jan"", ""std"": -13.5, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Dec"", ""std"": 2.5, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Nov"", ""std"": 5.7, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Oct"", ""std"": 1.7, ""rapid"": -12.6, ""blitz"": 0.0}, {""period"": ""2023-Aug"", ""std"": -10.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Jul"", ""std"": 11.3, ""rapid"": -1.2, ""blitz"": 0.3}, {""period"": ""2023-Jun"", ""std"": 1.7, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Apr"", ""std"": 0.0, ""rapid"": 3.9, ""blitz"": 26.7}]"
659479,"[{""period"": ""2025-Dec"", ""std"": 7.8, ""rapid"": -6.2, ""blitz"": 0.0}, {""period"": ""2025-Nov"", ""std"": 0.0, ""rapid"": 26.2, ""blitz"": 0.0}, {""period"": ""2025-Oct"", ""std"": -3.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Sep"", ""std"": -9.2, ""rapid"": 2.2, ""blitz"": 0.0}, {""period"": ""2025-Jul"", ""std"": -3.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Jun"", ""std"": 9.8, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Apr"", ""std"": -10.8, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Mar"", ""std"": 17.8, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Feb"", ""std"": 15.2, ""rapid"": 12.2, ""blitz"": 0.0}, {""period"": ""2025-Jan"", ""std"": 1.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Dec"", ""std"": -8.2, ""rapid"": 9.0, ""blitz"": 0.0}, {""period"": ""2024-Nov"", ""std"": 6.8, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Jun"", ""std"": 0.0, ""rapid"": -9.2, ""blitz"": 0.0}, {""period"": ""2024-Apr"", ""std"": -8.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Feb"", ""std"": 1.2, ""rapid"": 8.4, ""blitz"": 0.0}, {""period"": ""2024-Jan"", ""std"": 7.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Dec"", ""std"": -13.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Nov"", ""std"": 7.2, ""rapid"": -8.0, ""blitz"": 0.0}, {""period"": ""2023-May"", ""std"": 11.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Apr"", ""std"": 7.8, ""rapid"": -3.2, ""blitz"": 0.0}, {""period"": ""2023-Feb"", ""std"": 11.6, ""rapid"": 2.6, ""blitz"": 0.0}, {""period"": ""2022-Dec"", ""std"": -2.0, ""rapid"": -4.4, ""blitz"": 0.0}, {""period"": ""2022-Nov"", ""std"": -20.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2018-Apr"", ""std"": -29.6, ""rapid"": 0.0, ""blitz"": 0.0}]"
1303902,"[{""period"": ""2025-Dec"", ""std"": 14.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Mar"", ""std"": -3.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Feb"", ""std"": -4.8, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Jan"", ""std"": 1.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Dec"", ""std"": -1.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Nov"", ""std"": 22.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Oct"", ""std"": -3.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Sep"", ""std"": 2.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Jul"", ""std"": -2.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-May"", ""std"": -2.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Apr"", ""std"": -6.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Mar"", ""std"": 13.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Feb"", ""std"": -2.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Jan"", ""std"": -9.8, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Dec"", ""std"": 10.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Nov"", ""std"": 6.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Oct"", ""std"": 10.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Sep"", ""std"": 5.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Jul"", ""std"": 9.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Jun"", ""std"": 5.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-May"", ""std"": 6.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Mar"", ""std"": 13.8, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Feb"", ""std"": -5.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Jan"", ""std"": -12.2, ""rapid"": 0.0, ""blitz"": 0.0}]"
1307916,"[{""period"": ""2019-Apr"", ""std"": 9.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2018-Oct"", ""std"": 13.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2018-Jun"", ""std"": 7.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2018-May"", ""std"": -1.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2018-Apr"", ""std"": 5.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2017-Oct"", ""std"": 3.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2017-Jul"", ""std"": -8.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2017-Jun"", ""std"": -4.8, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2017-May"", ""std"": 6.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2017-Apr"", ""std"": 3.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2013-Nov"", ""std"": 3.9, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2012-Nov"", ""std"": -43.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2011-Jan"", ""std"": -5.75, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2010-Jan"", ""std"": -26.5, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2009-Jan"", ""std"": 15.25, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2008-Jan"", ""std"": -23.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2007-Jan"", ""std"": -10.0, ""rapid"": 0.0, ""blitz"": 0.0}]"
1320815,"[{""period"": ""2025-Dec"", ""std"": 11.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Oct"", ""std"": 19.0, ""rapid"": -0.8, ""blitz"": 0.0}, {""period"": ""2025-Mar"", ""std"": -2.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Feb"", ""std"": -6.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Jan"", ""std"": 0.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Nov"", ""std"": -8.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Oct"", ""std"": 4.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Sep"", ""std"": 10.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Jul"", ""std"": -4.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Jun"", ""std"": -6.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-May"", ""std"": 9.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Apr"", ""std"": 5.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Mar"", ""std"": 10.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Feb"", ""std"": 8.8, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Dec"", ""std"": -0.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Nov"", ""std"": 12.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Oct"", ""std"": 1.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Sep"", ""std"": 7.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Jul"", ""std"": 3.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Jun"", ""std"": 6.8, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-May"", ""std"": -11.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Mar"", ""std"": -2.0, ""rapid"": -16.8, ""blitz"": 0.0}, {""period"": ""2023-Feb"", ""std"": -5.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Jan"", ""std"": 1.4, ""rapid"": 0.0, ""blitz"": 0.0}]"
1330403,"[{""period"": ""2025-Dec"", ""std"": 26.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Sep"", ""std"": 12.8, ""rapid"": -1.4, ""blitz"": 0.0}, {""period"": ""2025-Jun"", ""std"": 7.4, ""rapid"": 12.2, ""blitz"": 0.0}, {""period"": ""2025-May"", ""std"": -4.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Apr"", ""std"": -5.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Mar"", ""std"": 4.8, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Feb"", ""std"": -3.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Jan"", ""std"": 0.8, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Dec"", ""std"": 3.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Nov"", ""std"": 10.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Sep"", ""std"": -9.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Jul"", ""std"": -5.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Jun"", ""std"": -2.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-May"", ""std"": -9.8, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Mar"", ""std"": -11.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Feb"", ""std"": 1.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Jan"", ""std"": 0.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Dec"", ""std"": -0.8, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Nov"", ""std"": 5.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Oct"", ""std"": -9.8, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Sep"", ""std"": -3.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Jun"", ""std"": 5.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-May"", ""std"": 6.8, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Jan"", ""std"": -8.4, ""rapid"": 0.0, ""blitz"": 0.0}]"
1301829,"[{""period"": ""2025-Dec"", ""std"": 12.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Oct"", ""std"": 6.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Sep"", ""std"": 5.8, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Aug"", ""std"": -29.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Jul"", ""std"": -6.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Jun"", ""std"": -8.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-May"", ""std"": -4.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Mar"", ""std"": -14.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2025-Feb"", ""std"": -33.8, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Nov"", ""std"": -16.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Oct"", ""std"": -6.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Sep"", ""std"": -6.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Jun"", ""std"": -3.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-May"", ""std"": -6.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Apr"", ""std"": 15.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Oct"", ""std"": 10.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Sep"", ""std"": 11.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Aug"", ""std"": 4.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Jul"", ""std"": -0.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Jun"", ""std"": -36.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2021-Sep"", ""std"": -18.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2020-Feb"", ""std"": -15.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2019-Oct"", ""std"": -7.8, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2019-Aug"", ""std"": 35.2, ""rapid"": 0.0, ""blitz"": 0.0}]"
1321307,"[{""period"": ""2025-Nov"", ""std"": 0.0, ""rapid"": 24.4, ""blitz"": 0.0}, {""period"": ""2025-Oct"", ""std"": 0.0, ""rapid"": 0.0, ""blitz"": -37.6}, {""period"": ""2025-Mar"", ""std"": 0.0, ""rapid"": 13.0, ""blitz"": 0.0}, {""period"": ""2025-Feb"", ""std"": 0.0, ""rapid"": 0.4, ""blitz"": 0.0}, {""period"": ""2025-Jan"", ""std"": 0.0, ""rapid"": -5.2, ""blitz"": 0.0}, {""period"": ""2024-Oct"", ""std"": 0.0, ""rapid"": -32.4, ""blitz"": 0.0}, {""period"": ""2024-Sep"", ""std"": 0.0, ""rapid"": 0.0, ""blitz"": 20.6}, {""period"": ""2024-Aug"", ""std"": 0.0, ""rapid"": -28.4, ""blitz"": 0.0}, {""period"": ""2024-May"", ""std"": 0.0, ""rapid"": 0.0, ""blitz"": 25.2}, {""period"": ""2024-Apr"", ""std"": 0.0, ""rapid"": -38.2, ""blitz"": 0.0}, {""period"": ""2024-Feb"", ""std"": 0.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Jan"", ""std"": 0.0, ""rapid"": 0.0, ""blitz"": 44.4}, {""period"": ""2023-Mar"", ""std"": 0.0, ""rapid"": -3.6, ""blitz"": 0.0}, {""period"": ""2023-Jan"", ""std"": 0.0, ""rapid"": 0.0, ""blitz"": 16.8}, {""period"": ""2022-Sep"", ""std"": 0.0, ""rapid"": 0.0, ""blitz"": 6.8}, {""period"": ""2022-Apr"", ""std"": 0.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2022-Feb"", ""std"": 0.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2021-Dec"", ""std"": 0.0, ""rapid"": 0.0, ""blitz"": -23.0}, {""period"": ""2020-Mar"", ""std"": 0.0, ""rapid"": -13.4, ""blitz"": 0.0}, {""period"": ""2020-Jan"", ""std"": 0.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2019-Aug"", ""std"": 0.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2016-Aug"", ""std"": 0.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2013-Jul"", ""std"": 0.0, ""rapid"": 0.0, ""blitz"": 0.0}]"
1304933,"[{""period"": ""2024-Oct"", ""std"": -9.6, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Jul"", ""std"": -4.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-May"", ""std"": -11.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2024-Apr"", ""std"": -8.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Sep"", ""std"": 0.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-Jul"", ""std"": -3.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2023-May"", ""std"": 18.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2019-May"", ""std"": -13.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2018-Nov"", ""std"": -16.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2018-Oct"", ""std"": -19.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2018-Aug"", ""std"": -2.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2018-Jul"", ""std"": 2.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2018-Jun"", ""std"": 4.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2018-May"", ""std"": -5.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2018-Apr"", ""std"": -1.2, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2017-Dec"", ""std"": -18.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2017-Oct"", ""std"": -8.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2017-Jun"", ""std"": -24.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2017-Apr"", ""std"": 14.4, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2013-Nov"", ""std"": -2.7, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2012-Nov"", ""std"": 0.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2011-Jan"", ""std"": 0.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2009-Jan"", ""std"": 0.0, ""rapid"": 0.0, ""blitz"": 0.0}, {""period"": ""2008-Jan"", ""std"": 0.0, ""rapid"": 0.0, ""blitz"": 0.0}]"
